用户编号：4169 观看电影部数：2314
用户编号：1680 观看电影部数：1850
用户编号：4277 观看电影部数：1743
用户编号：1941 观看电影部数：1595
用户编号：1181 观看电影部数：1521
用户编号：889 观看电影部数：1518
用户编号：3618 观看电影部数：1344
用户编号：2063 观看电影部数：1323
用户编号：1150 观看电影部数：1302
用户编号：1015 观看电影部数：1286
用户编号：5795 观看电影部数：1277
用户编号：4344 观看电影部数：1271
用户编号：1980 观看电影部数：1260
用户编号：2909 观看电影部数：1258
用户编号：1449 观看电影部数：1243
用户编号：4510 观看电影部数：1240
用户编号：424 观看电影部数：1226
用户编号：4227 观看电影部数：1222
用户编号：5831 观看电影部数：1220
用户编号：3841 观看电影部数：1216
用户编号：3391 观看电影部数：1216
用户编号：4508 观看电影部数：1211
用户编号：1088 观看电影部数：1176
用户编号：5367 观看电影部数：1169
用户编号：3808 观看电影部数：1158
用户编号：549 观看电影部数：1152
用户编号：1285 观看电影部数：1144
用户编号：3224 观看电影部数：1115
用户编号：3539 观看电影部数：1078
用户编号：4543 观看电影部数：1050
用户编号：5643 观看电影部数：1047
用户编号：1448 观看电影部数：1038
用户编号：752 观看电影部数：1024
用户编号：3032 观看电影部数：1019
用户编号：3824 观看电影部数：1018
用户编号：524 观看电影部数：1016
用户编号：4448 观看电影部数：1014
用户编号：4064 观看电影部数：1009
用户编号：4725 观看电影部数：1006
用户编号：1010 观看电影部数：1004
用户编号：5954 观看电影部数：1000
用户编号：678 观看电影部数：999
用户编号：1447 观看电影部数：990
用户编号：4447 观看电影部数：982
用户编号：2116 观看电影部数：971
用户编号：550 观看电影部数：967
用户编号：1605 观看电影部数：964
用户编号：3526 观看电影部数：962
用户编号：1698 观看电影部数：957
用户编号：1880 观看电影部数：955
用户编号：1912 观看电影部数：947
用户编号：3778 观看电影部数：941
用户编号：3292 观看电影部数：939
用户编号：4808 观看电影部数：939
用户编号：4425 观看电影部数：934
用户编号：1019 观看电影部数：928
用户编号：3507 观看电影部数：923
用户编号：3311 观看电影部数：920
用户编号：2181 观看电影部数：915
用户编号：881 观看电影部数：914
用户编号：6016 观看电影部数：909
用户编号：2015 观看电影部数：903
用户编号：2106 观看电影部数：900
用户编号：2820 观看电影部数：894
用户编号：4647 观看电影部数：893
用户编号：5812 观看电影部数：893
